,Duration,Type,Call Status,Call Id,V_Range,mnth_sin,day_sin,hr_sin,mnth_cos,day_cos,hr_cos
2541,148,Service,Existing Customer Prospect,1066538321.0,0,0.9659258262890682,0.7071067811865476,-0.25881904510252035,-0.4999999999999998,0.5000000000000001,1.0
2557,139,Service,Existing Customer Prospect,1039613539.0,2,0.5000000000000003,0.49999999999999994,-0.7071067811865471,-1.8369701987210297e-16,0.8660254037844387,0.5000000000000004
2578,139,Service,Disconnected in Progress,1067718144.0,2,0.9659258262890682,0.7071067811865476,0.258819045102521,-0.4999999999999998,0.5000000000000001,0.49999999999999933
2614,132,Current Customer,Current Customer,1085277239.0,2,0.25881904510252074,0.0,-0.4999999999999997,1.0,0.8660254037844387,0.866025403784439
2643,129,Current Customer,Current Customer,1040858174.0,1,0.5000000000000003,0.49999999999999994,-0.8660254037844385,-1.8369701987210297e-16,0.8660254037844387,1.1943401194869635e-15
2648,100,Service,New Prospect,730973505.0,1,0.5000000000000003,0.0,0.9659258262890683,-1.8369701987210297e-16,0.8660254037844387,-1.0
2678,127,Service,New Prospect,669331737.0,0,0.49999999999999994,1.0,-0.7071067811865471,0.8660254037844387,-0.8660254037844385,0.5000000000000004
2680,126,Service,New Prospect,1031798945.0,1,1.2246467991473532e-16,0.49999999999999994,0.8660254037844387,0.8660254037844384,0.8660254037844387,-0.8660254037844388
2718,123,Service,New Prospect,1064782414.0,1,0.9659258262890682,0.25881904510252074,0.7071067811865476,-0.4999999999999998,1.0,-0.5000000000000004
2728,119,Service,Existing Customer Prospect,691006968.0,0,0.9659258262890682,0.0,0.7071067811865476,-0.4999999999999998,0.8660254037844387,-0.5000000000000004
2750,98,Service,Answering Service/Call Center,663231491.0,0,0.25881904510252074,0.0,-1.0,1.0,0.8660254037844387,-0.8660254037844379
2774,112,Current Customer,Current Customer,1061277247.0,0,1.0,0.0,0.5000000000000003,-0.8660254037844385,0.8660254037844387,-1.8369701987210297e-16
2776,89,Service,Answering Service/Call Center,702358586.0,0,1.0,0.9659258262890682,0.8660254037844387,-0.8660254037844385,-0.4999999999999998,-0.8660254037844388
2778,111,Service,Existing Customer Prospect,717835517.0,0,0.8660254037844387,0.7071067811865476,0.258819045102521,-0.8660254037844388,0.5000000000000001,0.49999999999999933
2800,105,Current Customer,Current Customer,717776187.0,0,0.8660254037844387,0.7071067811865476,0.7071067811865476,-0.8660254037844388,0.5000000000000001,-0.5000000000000004
2824,110,Service,New Prospect,669233210.0,0,0.49999999999999994,0.9659258262890682,-0.7071067811865471,0.8660254037844387,-0.4999999999999998,0.5000000000000004
2827,108,Current Customer,Current Customer,705736986.0,1,0.9659258262890683,0.8660254037844386,-0.25881904510252035,-1.0,6.123233995736766e-17,1.0
2829,104,Service,Existing Customer Prospect,680230026.0,2,0.7071067811865476,0.49999999999999994,-0.9659258262890681,0.5000000000000001,0.8660254037844387,-0.4999999999999992
2881,97,Service,New Prospect,1058485503.0,0,0.9659258262890683,0.25881904510252074,0.258819045102521,-1.0,1.0,0.49999999999999933
2895,92,Service,New Prospect,1066728644.0,0,0.9659258262890682,0.49999999999999994,-0.25881904510252035,-0.4999999999999998,0.8660254037844387,1.0
2911,87,Current Customer,Current Customer,1062774312.0,0,1.0,0.8660254037844386,-0.25881904510252035,-0.8660254037844385,6.123233995736766e-17,1.0
2927,84,Service,New Prospect,1089642898.0,1,0.25881904510252074,0.7071067811865476,0.7071067811865476,1.0,0.5000000000000001,-0.5000000000000004
2944,74,Current Customer,Current Customer,1048148872.0,0,0.8660254037844387,0.49999999999999994,-0.7071067811865471,-0.8660254037844388,0.8660254037844387,0.5000000000000004
2969,70,Current Customer,Current Customer,1067543799.0,0,0.9659258262890682,0.8660254037844386,0.5000000000000003,-0.4999999999999998,6.123233995736766e-17,-1.8369701987210297e-16
2983,54,Sales,New Prospect,1059707457.0,1,1.0,0.25881904510252074,-0.25881904510252035,-0.8660254037844385,1.0,1.0
6999,397,Service,New Prospect,1072102891.0,0,0.8660254037844386,0.0,0.5000000000000003,6.123233995736766e-17,0.8660254037844387,-1.8369701987210297e-16
15623,259,Service,Existing Customer Prospect,1071462244.0,0,0.8660254037844386,0.7071067811865476,0.7071067811865476,6.123233995736766e-17,0.5000000000000001,-0.5000000000000004
